,event_date,user_id,id,latitude,longitude,city,state,district
0,2021-07-01,385,,,,,,
1,2021-07-01,690,,,,,,
2,2021-07-01,2745,,,,,,
3,2021-07-01,4325,,,,,,
4,2021-07-01,4327,,,,,,
5,2021-07-01,4376,,,,,,
6,2021-07-01,4524,,,,,,
7,2021-07-01,6345,,,,,,
8,2021-07-01,6504,,,,,,
9,2021-07-01,6874,,,,,,
10,2021-07-01,7407,,,,,,
11,2021-07-01,7541,,,,,,
12,2021-07-01,8217,,,,,,
13,2021-07-01,8398,,,,,,
14,2021-07-01,8430,,,,,,
15,2021-07-01,8487,,,,,,
16,2021-07-01,8564,,,,,,
17,2021-07-01,8641,,,,,,
18,2021-07-01,8725,,,,,,
19,2021-07-01,9417,,,,,,
20,2021-07-01,9482,,,,,,
21,2021-07-01,9737,,,,,,
22,2021-07-01,11182,,,,,,
23,2021-07-01,11186,,,,,,
24,2021-07-01,11513,,,,,,
25,2021-07-01,11757,,,,,,
26,2021-07-01,11788,,,,,,
27,2021-07-01,11942,,,,,,
28,2021-07-01,12060,,,,,,
29,2021-07-01,12381,,,,,,
30,2021-07-01,12527,,,,,,
31,2021-07-01,12751,,,,,,
32,2021-07-01,13079,,,,,,
33,2021-07-01,13303,,,,,,
34,2021-07-01,13805,,,,,,
35,2021-07-01,13899,,,,,,
36,2021-07-01,13999,,,,,,
37,2021-07-01,14148,,,,,,
38,2021-07-01,14336,,,,,,
39,2021-07-01,14683,,,,,,
40,2021-07-01,14828,,,,,,
41,2021-07-01,14879,,,,,,
42,2021-07-01,14927,,,,,,
43,2021-07-01,14970,,,,,,
44,2021-07-01,14988,,,,,,
45,2021-07-01,15890,,,,,,
46,2021-07-01,16164,,,,,,
47,2021-07-01,16223,,,,,,
48,2021-07-01,16242,,,,,,
49,2021-07-01,16715,,,,,,
50,2021-07-01,17308,,,,,,
51,2021-07-01,17527,,,,,,
52,2021-07-01,18071,,,,,,
53,2021-07-01,18664,,,,,,
54,2021-07-01,19025,,,,,,
55,2021-07-01,19573,,,,,,
56,2021-07-01,19642,,,,,,
57,2021-07-01,19826,,,,,,
58,2021-07-01,20681,,,,,,
59,2021-07-01,20786,,,,,,
60,2021-07-01,20876,,,,,,
61,2021-07-01,20900,,,,,,
62,2021-07-01,21593,,,,,,
63,2021-07-01,21842,,,,,,
64,2021-07-01,21968,,,,,,
65,2021-07-01,22488,,,,,,
66,2021-07-01,23150,,,,,,
67,2021-07-01,24120,,,,,,
68,2021-07-01,24930,,,,,,
69,2021-07-01,24953,,,,,,
70,2021-07-01,25181,,,,,,
71,2021-07-01,25484,,,,,,
72,2021-07-01,26396,,,,,,
73,2021-07-01,26827,,,,,,
74,2021-07-01,27067,,,,,,
75,2021-07-01,27139,,,,,,
76,2021-07-01,27672,,,,,,
77,2021-07-01,28033,,,,,,
78,2021-07-01,28049,,,,,,
79,2021-07-01,28141,,,,,,
80,2021-07-01,28729,,,,,,
81,2021-07-01,29342,,,,,,
82,2021-07-01,29987,,,,,,
83,2021-07-01,30702,,,,,,
84,2021-07-01,31046,,,,,,
85,2021-07-01,31667,,,,,,
86,2021-07-01,31876,,,,,,
87,2021-07-01,31933,,,,,,
88,2021-07-01,32207,,,,,,
89,2021-07-01,32415,,,,,,
90,2021-07-01,32598,,,,,,
91,2021-07-01,32824,,,,,,
92,2021-07-01,33315,,,,,,
93,2021-07-01,33323,,,,,,
94,2021-07-01,33394,,,,,,
95,2021-07-01,33494,,,,,,
96,2021-07-01,33498,,,,,,
97,2021-07-01,33702,,,,,,
98,2021-07-01,34497,,,,,,
99,2021-07-01,34819,,,,,,
100,2021-07-01,35233,,,,,,
101,2021-07-01,35339,,,,,,
102,2021-07-01,35489,,,,,,
103,2021-07-01,35651,,,,,,
104,2021-07-01,35717,,,,,,
105,2021-07-01,35768,,,,,,
106,2021-07-01,36352,,,,,,
107,2021-07-01,36566,,,,,,
108,2021-07-01,36959,,,,,,
109,2021-07-01,37106,,,,,,
110,2021-07-01,37133,,,,,,
111,2021-07-01,37519,,,,,,
112,2021-07-01,38441,,,,,,
113,2021-07-01,38653,,,,,,
114,2021-07-01,39424,,,,,,
115,2021-07-01,40465,,,,,,
116,2021-07-01,40466,,,,,,
117,2021-07-01,40489,,,,,,
118,2021-07-01,41565,,,,,,
119,2021-07-01,41739,,,,,,
120,2021-07-01,41823,,,,,,
121,2021-07-01,41855,,,,,,
122,2021-07-01,42811,,,,,,
123,2021-07-01,42943,,,,,,
124,2021-07-01,43154,,,,,,
125,2021-07-01,43208,,,,,,
126,2021-07-01,43381,,,,,,
127,2021-07-01,43403,,,,,,
128,2021-07-01,43428,,,,,,
129,2021-07-01,43575,,,,,,
130,2021-07-01,43577,,,,,,
131,2021-07-01,44020,,,,,,
132,2021-07-01,44392,,,,,,
133,2021-07-01,44922,,,,,,
134,2021-07-01,44924,,,,,,
135,2021-07-01,45278,,,,,,
136,2021-07-01,45509,,,,,,
137,2021-07-01,45641,,,,,,
138,2021-07-01,45916,,,,,,
139,2021-07-01,46255,,,,,,
140,2021-07-01,46678,,,,,,
141,2021-07-01,46895,,,,,,
142,2021-07-01,47107,,,,,,
143,2021-07-01,47196,,,,,,
